Ariana Grande

week,popularity
2016-09-04,9
2016-09-11,8
2016-09-18,9
2016-09-25,6
2016-10-02,6
2016-10-09,6
2016-10-16,7
2016-10-23,7
2016-10-30,6
2016-11-06,6
2016-11-13,8
2016-11-20,11
2016-11-27,6
2016-12-04,8
2016-12-11,7
2016-12-18,7
2016-12-25,10
2017-01-01,8
2017-01-08,6
2017-01-15,6
2017-01-22,5
2017-01-29,6
2017-02-05,6
2017-02-12,6
2017-02-19,6
2017-02-26,6
2017-03-05,6
2017-03-12,6
2017-03-19,5
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,3
2017-04-23,4
2017-04-30,3
2017-05-07,3
2017-05-14,3
2017-05-21,100
2017-05-28,10
2017-06-04,18
2017-06-11,5
2017-06-18,4
2017-06-25,4
2017-07-02,3
2017-07-09,4
2017-07-16,3
2017-07-23,3
2017-07-30,3
2017-08-06,3
2017-08-13,3
2017-08-20,3
2017-08-27,2
2017-09-03,2
2017-09-10,2
2017-09-17,3
2017-09-24,3
2017-10-01,3
2017-10-08,3
2017-10-15,3
2017-10-22,3
2017-10-29,3
2017-11-05,3
2017-11-12,3
2017-11-19,3
2017-11-26,3
2017-12-03,3
2017-12-10,3
2017-12-17,3
2017-12-24,3
2017-12-31,3
2018-01-07,2
2018-01-14,2
2018-01-21,2
2018-01-28,3
2018-02-04,2
2018-02-11,2
2018-02-18,2
2018-02-25,2
2018-03-04,2
2018-03-11,3
2018-03-18,3
2018-03-25,3
2018-04-01,2
2018-04-08,2
2018-04-15,5
2018-04-22,4
2018-04-29,6
2018-05-06,6
2018-05-13,4
2018-05-20,9
2018-05-27,7
2018-06-03,8
2018-06-10,24
2018-06-17,13
2018-06-24,11
2018-07-01,7
2018-07-08,11
2018-07-15,10
2018-07-22,8
2018-07-29,6
2018-08-05,6
2018-08-12,14
2018-08-19,17
2018-08-26,19
2018-09-02,46
2018-09-09,24
2018-09-16,12
2018-09-23,9
2018-09-30,8
2018-10-07,7
2018-10-14,34
2018-10-21,11
2018-10-28,11
2018-11-04,28
2018-11-11,16
2018-11-18,13
2018-11-25,17
2018-12-02,19
2018-12-09,15
2018-12-16,16
2018-12-23,11
2018-12-30,10
2019-01-06,7
2019-01-13,12
2019-01-20,14
2019-01-27,14
2019-02-03,19
2019-02-10,20
2019-02-17,14
2019-02-24,12
2019-03-03,11
2019-03-10,10
2019-03-17,13
2019-03-24,10
2019-03-31,10
2019-04-07,8
2019-04-14,11
2019-04-21,9
2019-04-28,9
2019-05-05,9
2019-05-12,8
2019-05-19,7
2019-05-26,8
2019-06-02,7
2019-06-09,8
2019-06-16,8
2019-06-23,9
2019-06-30,7
2019-07-07,9
2019-07-14,5
2019-07-21,6
2019-07-28,8
2019-08-04,8
2019-08-11,5
2019-08-18,5
2019-08-25,5
2019-09-01,7
2019-09-08,5
2019-09-15,5
2019-09-22,4
2019-09-29,4
2019-10-06,4
2019-10-13,4
2019-10-20,4
2019-10-27,5
2019-11-03,7
2019-11-10,7
2019-11-17,9
2019-11-24,9
2019-12-01,7
2019-12-08,6
2019-12-15,6
2019-12-22,6
2019-12-29,5
2020-01-05,4
2020-01-12,5
2020-01-19,5
2020-01-26,12
2020-02-02,5
2020-02-09,5
2020-02-16,4
2020-02-23,6
2020-03-01,5
2020-03-08,4
2020-03-15,4
2020-03-22,6
2020-03-29,5
2020-04-05,5
2020-04-12,5
2020-04-19,5
2020-04-26,5
2020-05-03,7
2020-05-10,6
2020-05-17,7
2020-05-24,6
2020-05-31,5
2020-06-07,5
2020-06-14,5
2020-06-21,6
2020-06-28,5
2020-07-05,4
2020-07-12,5
2020-07-19,4
2020-07-26,4
2020-08-02,4
2020-08-09,4
2020-08-16,5
2020-08-23,5
2020-08-30,6
2020-09-06,5
2020-09-13,4
2020-09-20,4
2020-09-27,4
2020-10-04,4
2020-10-11,5
2020-10-18,8
2020-10-25,10
2020-11-01,6
2020-11-08,6
2020-11-15,8
2020-11-22,6
2020-11-29,7
2020-12-06,7
2020-12-13,7
2020-12-20,25
2020-12-27,9
2021-01-03,6
2021-01-10,6
2021-01-17,6
2021-01-24,5
2021-01-31,5
2021-02-07,6
2021-02-14,6
2021-02-21,5
2021-02-28,5
2021-03-07,5
2021-03-14,5
2021-03-21,4
2021-03-28,5
2021-04-04,5
2021-04-11,5
2021-04-18,5
2021-04-25,4
2021-05-02,5
2021-05-09,4
2021-05-16,15
2021-05-23,16
2021-05-30,7
2021-06-06,6
2021-06-13,5
2021-06-20,6
2021-06-27,6
2021-07-04,5
2021-07-11,5
2021-07-18,4
2021-07-25,5
2021-08-01,10
2021-08-08,7
2021-08-15,5
2021-08-22,4
2021-08-29,4
2021-09-05,5
2021-09-12,5
2021-09-19,13
2021-09-26,8
2021-10-03,7
2021-10-10,7
2021-10-17,6
