Bobby Helms

weeks,popularity
2016-09-04,0
2016-09-11,20
2016-09-18,4
2016-09-25,5
2016-10-02,10
2016-10-09,3
2016-10-16,2
2016-10-23,5
2016-10-30,9
2016-11-06,17
2016-11-13,20
2016-11-20,20
2016-11-27,40
2016-12-04,47
2016-12-11,57
2016-12-18,72
2016-12-25,25
2017-01-01,10
2017-01-08,5
2017-01-15,6
2017-01-22,3
2017-01-29,3
2017-02-05,0
2017-02-12,6
2017-02-19,7
2017-02-26,8
2017-03-05,0
2017-03-12,0
2017-03-19,6
2017-03-26,0
2017-04-02,6
2017-04-09,4
2017-04-16,5
2017-04-23,0
2017-04-30,5
2017-05-07,6
2017-05-14,3
2017-05-21,5
2017-05-28,0
2017-06-04,9
2017-06-11,10
2017-06-18,9
2017-06-25,6
2017-07-02,4
2017-07-09,12
2017-07-16,5
2017-07-23,3
2017-07-30,4
2017-08-06,4
2017-08-13,0
2017-08-20,8
2017-08-27,4
2017-09-03,6
2017-09-10,7
2017-09-17,15
2017-09-24,9
2017-10-01,4
2017-10-08,7
2017-10-15,0
2017-10-22,8
2017-10-29,4
2017-11-05,18
2017-11-12,27
2017-11-19,18
2017-11-26,17
2017-12-03,54
2017-12-10,44
2017-12-17,63
2017-12-24,45
2017-12-31,4
2018-01-07,8
2018-01-14,12
2018-01-21,5
2018-01-28,9
2018-02-04,0
2018-02-11,3
2018-02-18,2
2018-02-25,8
2018-03-04,9
2018-03-11,3
2018-03-18,6
2018-03-25,8
2018-04-01,5
2018-04-08,7
2018-04-15,7
2018-04-22,4
2018-04-29,2
2018-05-06,3
2018-05-13,8
2018-05-20,6
2018-05-27,0
2018-06-03,6
2018-06-10,0
2018-06-17,0
2018-06-24,3
2018-07-01,7
2018-07-08,5
2018-07-15,3
2018-07-22,0
2018-07-29,7
2018-08-05,11
2018-08-12,3
2018-08-19,5
2018-08-26,0
2018-09-02,6
2018-09-09,14
2018-09-16,2
2018-09-23,4
2018-09-30,7
2018-10-07,0
2018-10-14,3
2018-10-21,3
2018-10-28,8
2018-11-04,12
2018-11-11,20
2018-11-18,35
2018-11-25,33
2018-12-02,50
2018-12-09,57
2018-12-16,66
2018-12-23,79
2018-12-30,11
2019-01-06,2
2019-01-13,6
2019-01-20,5
2019-01-27,4
2019-02-03,8
2019-02-10,3
2019-02-17,8
2019-02-24,0
2019-03-03,6
2019-03-10,3
2019-03-17,5
2019-03-24,0
2019-03-31,8
2019-04-07,0
2019-04-14,0
2019-04-21,3
2019-04-28,0
2019-05-05,6
2019-05-12,4
2019-05-19,6
2019-05-26,4
2019-06-02,4
2019-06-09,9
2019-06-16,6
2019-06-23,5
2019-06-30,6
2019-07-07,0
2019-07-14,6
2019-07-21,6
2019-07-28,5
2019-08-04,3
2019-08-11,7
2019-08-18,8
2019-08-25,0
2019-09-01,4
2019-09-08,5
2019-09-15,7
2019-09-22,4
2019-09-29,6
2019-10-06,0
2019-10-13,5
2019-10-20,13
2019-10-27,5
2019-11-03,10
2019-11-10,17
2019-11-17,19
2019-11-24,36
2019-12-01,51
2019-12-08,50
2019-12-15,68
2019-12-22,78
2019-12-29,10
2020-01-05,4
2020-01-12,6
2020-01-19,3
2020-01-26,4
2020-02-02,11
2020-02-09,6
2020-02-16,12
2020-02-23,4
2020-03-01,3
2020-03-08,3
2020-03-15,5
2020-03-22,5
2020-03-29,5
2020-04-05,16
2020-04-12,7
2020-04-19,5
2020-04-26,7
2020-05-03,6
2020-05-10,4
2020-05-17,8
2020-05-24,8
2020-05-31,5
2020-06-07,6
2020-06-14,10
2020-06-21,5
2020-06-28,9
2020-07-05,7
2020-07-12,5
2020-07-19,6
2020-07-26,9
2020-08-02,2
2020-08-09,8
2020-08-16,7
2020-08-23,0
2020-08-30,4
2020-09-06,7
2020-09-13,5
2020-09-20,11
2020-09-27,0
2020-10-04,4
2020-10-11,9
2020-10-18,6
2020-10-25,7
2020-11-01,11
2020-11-08,17
2020-11-15,24
2020-11-22,47
2020-11-29,50
2020-12-06,60
2020-12-13,70
2020-12-20,100
2020-12-27,19
2021-01-03,0
2021-01-10,4
2021-01-17,6
2021-01-24,5
2021-01-31,5
2021-02-07,7
2021-02-14,3
2021-02-21,4
2021-02-28,5
2021-03-07,4
2021-03-14,2
2021-03-21,5
2021-03-28,8
2021-04-04,4
2021-04-11,0
2021-04-18,6
2021-04-25,3
2021-05-02,7
2021-05-09,0
2021-05-16,10
2021-05-23,4
2021-05-30,5
2021-06-06,0
2021-06-13,10
2021-06-20,2
2021-06-27,6
2021-07-04,9
2021-07-11,6
2021-07-18,10
2021-07-25,13
2021-08-01,4
2021-08-08,5
2021-08-15,8
2021-08-22,10
2021-08-29,4
2021-09-05,12
2021-09-12,9
2021-09-19,8
2021-09-26,5
2021-10-03,7
2021-10-10,0
2021-10-17,34
