God Bless America

week,popularity
2016-09-04,3
2016-09-11,4
2016-09-18,19
2016-09-25,3
2016-10-02,2
2016-10-09,2
2016-10-16,2
2016-10-23,3
2016-10-30,11
2016-11-06,59
2016-11-13,13
2016-11-20,11
2016-11-27,8
2016-12-04,7
2016-12-11,5
2016-12-18,6
2016-12-25,5
2017-01-01,4
2017-01-08,5
2017-01-15,14
2017-01-22,5
2017-01-29,6
2017-02-05,18
2017-02-12,5
2017-02-19,6
2017-02-26,4
2017-03-05,5
2017-03-12,5
2017-03-19,5
2017-03-26,4
2017-04-02,6
2017-04-09,6
2017-04-16,5
2017-04-23,6
2017-04-30,7
2017-05-07,6
2017-05-14,10
2017-05-21,14
2017-05-28,22
2017-06-04,10
2017-06-11,10
2017-06-18,9
2017-06-25,20
2017-07-02,99
2017-07-09,12
2017-07-16,9
2017-07-23,9
2017-07-30,8
2017-08-06,9
2017-08-13,11
2017-08-20,9
2017-08-27,10
2017-09-03,9
2017-09-10,15
2017-09-17,9
2017-09-24,16
2017-10-01,27
2017-10-08,11
2017-10-15,10
2017-10-22,17
2017-10-29,13
2017-11-05,23
2017-11-12,10
2017-11-19,6
2017-11-26,5
2017-12-03,7
2017-12-10,5
2017-12-17,5
2017-12-24,4
2017-12-31,5
2018-01-07,5
2018-01-14,5
2018-01-21,6
2018-01-28,8
2018-02-04,11
2018-02-11,9
2018-02-18,6
2018-02-25,6
2018-03-04,5
2018-03-11,6
2018-03-18,7
2018-03-25,7
2018-04-01,7
2018-04-08,6
2018-04-15,9
2018-04-22,11
2018-04-29,7
2018-05-06,9
2018-05-13,10
2018-05-20,13
2018-05-27,24
2018-06-03,52
2018-06-10,15
2018-06-17,10
2018-06-24,17
2018-07-01,100
2018-07-08,11
2018-07-15,9
2018-07-22,8
2018-07-29,8
2018-08-05,6
2018-08-12,8
2018-08-19,8
2018-08-26,8
2018-09-02,10
2018-09-09,14
2018-09-16,7
2018-09-23,7
2018-09-30,9
2018-10-07,9
2018-10-14,6
2018-10-21,7
2018-10-28,6
2018-11-04,14
2018-11-11,12
2018-11-18,6
2018-11-25,5
2018-12-02,7
2018-12-09,5
2018-12-16,4
2018-12-23,4
2018-12-30,4
2019-01-06,4
2019-01-13,4
2019-01-20,3
2019-01-27,4
2019-02-03,11
2019-02-10,5
2019-02-17,4
2019-02-24,5
2019-03-03,4
2019-03-10,3
2019-03-17,4
2019-03-24,4
2019-03-31,5
2019-04-07,5
2019-04-14,53
2019-04-21,53
2019-04-28,15
2019-05-05,12
2019-05-12,11
2019-05-19,12
2019-05-26,23
2019-06-02,9
2019-06-09,8
2019-06-16,9
2019-06-23,11
2019-06-30,63
2019-07-07,14
2019-07-14,7
2019-07-21,6
2019-07-28,5
2019-08-04,6
2019-08-11,6
2019-08-18,6
2019-08-25,5
2019-09-01,5
2019-09-08,11
2019-09-15,5
2019-09-22,7
2019-09-29,4
2019-10-06,6
2019-10-13,5
2019-10-20,7
2019-10-27,7
2019-11-03,13
2019-11-10,12
2019-11-17,6
2019-11-24,4
2019-12-01,5
2019-12-08,5
2019-12-15,4
2019-12-22,5
2019-12-29,4
2020-01-05,5
2020-01-12,5
2020-01-19,5
2020-01-26,5
2020-02-02,15
2020-02-09,4
2020-02-16,4
2020-02-23,5
2020-03-01,5
2020-03-08,5
2020-03-15,6
2020-03-22,9
2020-03-29,12
2020-04-05,9
2020-04-12,6
2020-04-19,6
2020-04-26,6
2020-05-03,6
2020-05-10,6
2020-05-17,9
2020-05-24,14
2020-05-31,10
2020-06-07,7
2020-06-14,13
2020-06-21,10
2020-06-28,58
2020-07-05,33
2020-07-12,7
2020-07-19,7
2020-07-26,6
2020-08-02,5
2020-08-09,4
2020-08-16,6
2020-08-23,8
2020-08-30,6
2020-09-06,11
2020-09-13,8
2020-09-20,5
2020-09-27,6
2020-10-04,6
2020-10-11,5
2020-10-18,7
2020-10-25,7
2020-11-01,25
2020-11-08,16
2020-11-15,8
2020-11-22,7
2020-11-29,5
2020-12-06,6
2020-12-13,4
2020-12-20,4
2020-12-27,3
2021-01-03,12
2021-01-10,10
2021-01-17,17
2021-01-24,6
2021-01-31,4
2021-02-07,11
2021-02-14,5
2021-02-21,3
2021-02-28,4
2021-03-07,3
2021-03-14,3
2021-03-21,4
2021-03-28,3
2021-04-04,4
2021-04-11,4
2021-04-18,4
2021-04-25,4
2021-05-02,5
2021-05-09,5
2021-05-16,6
2021-05-23,8
2021-05-30,14
2021-06-06,6
2021-06-13,6
2021-06-20,7
2021-06-27,27
2021-07-04,56
2021-07-11,7
2021-07-18,6
2021-07-25,5
2021-08-01,5
2021-08-08,6
2021-08-15,7
2021-08-22,6
2021-08-29,6
2021-09-05,19
2021-09-12,10
2021-09-19,6
2021-09-26,6
2021-10-03,5
2021-10-10,4
2021-10-17,4
