Santa Tell Me

week,popularity
2016-09-04,3
2016-09-11,2
2016-09-18,4
2016-09-25,4
2016-10-02,5
2016-10-09,4
2016-10-16,4
2016-10-23,8
2016-10-30,11
2016-11-06,14
2016-11-13,21
2016-11-20,37
2016-11-27,53
2016-12-04,71
2016-12-11,81
2016-12-18,89
2016-12-25,42
2017-01-01,7
2017-01-08,4
2017-01-15,6
2017-01-22,3
2017-01-29,3
2017-02-05,3
2017-02-12,0
2017-02-19,2
2017-02-26,2
2017-03-05,2
2017-03-12,1
2017-03-19,2
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,0
2017-04-23,1
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,1
2017-06-11,1
2017-06-18,1
2017-06-25,0
2017-07-02,2
2017-07-09,0
2017-07-16,2
2017-07-23,0
2017-07-30,1
2017-08-06,5
2017-08-13,3
2017-08-20,2
2017-08-27,2
2017-09-03,3
2017-09-10,3
2017-09-17,1
2017-09-24,3
2017-10-01,3
2017-10-08,3
2017-10-15,7
2017-10-22,6
2017-10-29,8
2017-11-05,22
2017-11-12,27
2017-11-19,33
2017-11-26,46
2017-12-03,64
2017-12-10,66
2017-12-17,70
2017-12-24,43
2017-12-31,8
2018-01-07,6
2018-01-14,3
2018-01-21,1
2018-01-28,2
2018-02-04,2
2018-02-11,2
2018-02-18,0
2018-02-25,2
2018-03-04,2
2018-03-11,1
2018-03-18,0
2018-03-25,1
2018-04-01,1
2018-04-08,0
2018-04-15,0
2018-04-22,1
2018-04-29,1
2018-05-06,2
2018-05-13,1
2018-05-20,1
2018-05-27,2
2018-06-03,1
2018-06-10,1
2018-06-17,0
2018-06-24,2
2018-07-01,1
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,2
2018-08-05,0
2018-08-12,2
2018-08-19,0
2018-08-26,2
2018-09-02,1
2018-09-09,2
2018-09-16,4
2018-09-23,2
2018-09-30,4
2018-10-07,5
2018-10-14,7
2018-10-21,6
2018-10-28,14
2018-11-04,17
2018-11-11,32
2018-11-18,31
2018-11-25,47
2018-12-02,73
2018-12-09,78
2018-12-16,97
2018-12-23,78
2018-12-30,11
2019-01-06,5
2019-01-13,5
2019-01-20,4
2019-01-27,3
2019-02-03,0
2019-02-10,4
2019-02-17,2
2019-02-24,3
2019-03-03,2
2019-03-10,1
2019-03-17,3
2019-03-24,2
2019-03-31,4
2019-04-07,1
2019-04-14,0
2019-04-21,2
2019-04-28,1
2019-05-05,1
2019-05-12,0
2019-05-19,3
2019-05-26,2
2019-06-02,1
2019-06-09,1
2019-06-16,1
2019-06-23,0
2019-06-30,0
2019-07-07,2
2019-07-14,0
2019-07-21,2
2019-07-28,1
2019-08-04,1
2019-08-11,2
2019-08-18,2
2019-08-25,1
2019-09-01,2
2019-09-08,1
2019-09-15,3
2019-09-22,5
2019-09-29,6
2019-10-06,6
2019-10-13,6
2019-10-20,5
2019-10-27,7
2019-11-03,19
2019-11-10,31
2019-11-17,38
2019-11-24,43
2019-12-01,55
2019-12-08,64
2019-12-15,83
2019-12-22,78
2019-12-29,12
2020-01-05,3
2020-01-12,6
2020-01-19,4
2020-01-26,1
2020-02-02,3
2020-02-09,1
2020-02-16,0
2020-02-23,1
2020-03-01,2
2020-03-08,1
2020-03-15,2
2020-03-22,2
2020-03-29,3
2020-04-05,1
2020-04-12,2
2020-04-19,1
2020-04-26,1
2020-05-03,4
2020-05-10,1
2020-05-17,3
2020-05-24,3
2020-05-31,2
2020-06-07,2
2020-06-14,1
2020-06-21,2
2020-06-28,1
2020-07-05,2
2020-07-12,1
2020-07-19,0
2020-07-26,3
2020-08-02,3
2020-08-09,2
2020-08-16,2
2020-08-23,3
2020-08-30,3
2020-09-06,4
2020-09-13,3
2020-09-20,7
2020-09-27,4
2020-10-04,3
2020-10-11,6
2020-10-18,7
2020-10-25,6
2020-11-01,15
2020-11-08,26
2020-11-15,25
2020-11-22,36
2020-11-29,52
2020-12-06,55
2020-12-13,73
2020-12-20,100
2020-12-27,18
2021-01-03,7
2021-01-10,7
2021-01-17,2
2021-01-24,3
2021-01-31,4
2021-02-07,2
2021-02-14,2
2021-02-21,2
2021-02-28,2
2021-03-07,2
2021-03-14,1
2021-03-21,2
2021-03-28,0
2021-04-04,2
2021-04-11,3
2021-04-18,1
2021-04-25,4
2021-05-02,3
2021-05-09,0
2021-05-16,2
2021-05-23,1
2021-05-30,2
2021-06-06,2
2021-06-13,0
2021-06-20,3
2021-06-27,2
2021-07-04,1
2021-07-11,1
2021-07-18,1
2021-07-25,3
2021-08-01,1
2021-08-08,2
2021-08-15,2
2021-08-22,3
2021-08-29,3
2021-09-05,2
2021-09-12,2
2021-09-19,5
2021-09-26,4
2021-10-03,4
2021-10-10,7
2021-10-17,6
