Категория: Все категории

week,popularity
2016-09-04,34
2016-09-11,50
2016-09-18,38
2016-09-25,31
2016-10-02,18
2016-10-09,25
2016-10-16,25
2016-10-23,16
2016-10-30,16
2016-11-06,25
2016-11-13,17
2016-11-20,15
2016-11-27,10
2016-12-04,6
2016-12-11,14
2016-12-18,19
2016-12-25,8
2017-01-01,5
2017-01-08,19
2017-01-15,18
2017-01-22,11
2017-01-29,15
2017-02-05,21
2017-02-12,12
2017-02-19,9
2017-02-26,2
2017-03-05,11
2017-03-12,11
2017-03-19,15
2017-03-26,10
2017-04-02,12
2017-04-09,6
2017-04-16,13
2017-04-23,8
2017-04-30,9
2017-05-07,10
2017-05-14,13
2017-05-21,9
2017-05-28,13
2017-06-04,7
2017-06-11,9
2017-06-18,6
2017-06-25,7
2017-07-02,22
2017-07-09,6
2017-07-16,6
2017-07-23,2
2017-07-30,8
2017-08-06,9
2017-08-13,11
2017-08-20,12
2017-08-27,12
2017-09-03,13
2017-09-10,26
2017-09-17,19
2017-09-24,100
2017-10-01,34
2017-10-08,26
2017-10-15,25
2017-10-22,17
2017-10-29,14
2017-11-05,33
2017-11-12,18
2017-11-19,10
2017-11-26,11
2017-12-03,12
2017-12-10,7
2017-12-17,8
2017-12-24,3
2017-12-31,8
2018-01-07,12
2018-01-14,8
2018-01-21,8
2018-01-28,9
2018-02-04,28
2018-02-11,19
2018-02-18,31
2018-02-25,12
2018-03-04,10
2018-03-11,10
2018-03-18,10
2018-03-25,8
2018-04-01,7
2018-04-08,8
2018-04-15,12
2018-04-22,9
2018-04-29,10
2018-05-06,10
2018-05-13,8
2018-05-20,16
2018-05-27,18
2018-06-03,16
2018-06-10,17
2018-06-17,3
2018-06-24,10
2018-07-01,26
2018-07-08,25
2018-07-15,4
2018-07-22,5
2018-07-29,7
2018-08-05,0
2018-08-12,10
2018-08-19,7
2018-08-26,13
2018-09-02,18
2018-09-09,26
2018-09-16,14
2018-09-23,24
2018-09-30,15
2018-10-07,13
2018-10-14,21
2018-10-21,22
2018-10-28,20
2018-11-04,9
2018-11-11,11
2018-11-18,13
2018-11-25,11
2018-12-02,8
2018-12-09,10
2018-12-16,10
2018-12-23,4
2018-12-30,6
2019-01-06,9
2019-01-13,16
2019-01-20,22
2019-01-27,7
2019-02-03,29
2019-02-10,14
2019-02-17,10
2019-02-24,15
2019-03-03,16
2019-03-10,9
2019-03-17,10
2019-03-24,12
2019-03-31,9
2019-04-07,14
2019-04-14,9
2019-04-21,9
2019-04-28,13
2019-05-05,14
2019-05-12,13
2019-05-19,9
2019-05-26,10
2019-06-02,13
2019-06-09,10
2019-06-16,4
2019-06-23,9
2019-06-30,30
2019-07-07,13
2019-07-14,7
2019-07-21,5
2019-07-28,6
2019-08-04,11
2019-08-11,9
2019-08-18,6
2019-08-25,8
2019-09-01,9
2019-09-08,18
2019-09-15,8
2019-09-22,14
2019-09-29,4
2019-10-06,10
2019-10-13,11
2019-10-20,8
2019-10-27,11
2019-11-03,14
2019-11-10,16
2019-11-17,14
2019-11-24,8
2019-12-01,10
2019-12-08,5
2019-12-15,10
2019-12-22,2
2019-12-29,4
2020-01-05,9
2020-01-12,10
2020-01-19,13
2020-01-26,21
2020-02-02,36
2020-02-09,13
2020-02-16,17
2020-02-23,14
2020-03-01,18
2020-03-08,13
2020-03-15,10
2020-03-22,14
2020-03-29,20
2020-04-05,12
2020-04-12,13
2020-04-19,20
2020-04-26,18
2020-05-03,16
2020-05-10,6
2020-05-17,13
2020-05-24,22
2020-05-31,20
2020-06-07,22
2020-06-14,25
2020-06-21,54
2020-06-28,55
2020-07-05,48
2020-07-12,20
2020-07-19,10
2020-07-26,20
2020-08-02,14
2020-08-09,14
2020-08-16,6
2020-08-23,15
2020-08-30,15
2020-09-06,25
2020-09-13,39
2020-09-20,25
2020-09-27,21
2020-10-04,18
2020-10-11,18
2020-10-18,28
2020-10-25,20
2020-11-01,21
2020-11-08,24
2020-11-15,21
2020-11-22,12
2020-11-29,17
2020-12-06,22
2020-12-13,21
2020-12-20,11
2020-12-27,3
2021-01-03,15
2021-01-10,19
2021-01-17,24
2021-01-24,22
2021-01-31,28
2021-02-07,70
2021-02-14,17
2021-02-21,10
2021-02-28,24
2021-03-07,18
2021-03-14,11
2021-03-21,13
2021-03-28,9
2021-04-04,1
2021-04-11,13
2021-04-18,14
2021-04-25,14
2021-05-02,4
2021-05-09,15
2021-05-16,14
2021-05-23,15
2021-05-30,14
2021-06-06,17
2021-06-13,10
2021-06-20,12
2021-06-27,54
2021-07-04,51
2021-07-11,13
2021-07-18,10
2021-07-25,12
2021-08-01,9
2021-08-08,5
2021-08-15,12
2021-08-22,11
2021-08-29,12
2021-09-05,14
2021-09-12,20
2021-09-19,17
2021-09-26,16
2021-10-03,14
2021-10-10,11
2021-10-17,9
